NB551658:237:HCW3VBGXN:2:13110:12279:4071	NC_000006.12	90.000	30	3	0	15	44	25904491	25904520	0.068	41.9
NB551658:237:HCW3VBGXN:2:13110:12279:4071	NC_000006.12	92.000	25	2	0	42	66	63039551	63039527	0.83	37.4
NB551658:237:HCW3VBGXN:2:13110:12279:4071	NC_000006.12	100.000	20	0	0	51	70	102030255	102030236	0.83	37.4
NB551658:237:HCW3VBGXN:2:13110:12279:4071	NC_000006.12	95.455	22	1	0	27	48	121236245	121236266	2.9	36.5
NB551658:237:HCW3VBGXN:2:13110:12279:4071	NC_000022.11	100.000	22	0	0	27	48	23188871	23188850	0.068	41.0
NB551658:237:HCW3VBGXN:2:13110:12279:4071	NC_000022.11	89.286	28	3	0	39	66	35236503	35236476	0.83	38.3
NB551658:237:HCW3VBGXN:2:13110:12279:4071	NC_000005.10	85.714	35	3	1	27	61	58124457	58124489	0.24	39.2
NB551658:237:HCW3VBGXN:2:13110:12279:4071	NC_000005.10	82.353	34	6	0	27	60	77795146	77795113	2.9	35.6
NB551658:237:HCW3VBGXN:2:13110:12279:4071	NC_000005.10	86.207	29	4	0	38	66	103885161	103885133	2.9	35.6
NB551658:237:HCW3VBGXN:2:13110:12279:4071	NC_000005.10	82.353	34	6	0	34	67	104517437	104517404	2.9	35.6
NB551658:237:HCW3VBGXN:2:13110:12279:4071	NC_000002.12	100.000	21	0	0	41	61	78450306	78450326	0.24	39.2
NB551658:237:HCW3VBGXN:2:13110:12279:4071	NC_000002.12	95.455	22	1	0	42	63	81374315	81374336	2.9	36.5
NB551658:237:HCW3VBGXN:2:13110:12279:4071	NC_000002.12	95.455	22	1	0	42	63	198108905	198108884	2.9	36.5
NB551658:237:HCW3VBGXN:2:13110:12279:4071	NC_000002.12	91.667	24	2	0	39	62	140573973	140573996	2.9	35.6
NB551658:237:HCW3VBGXN:2:13110:12279:4071	NC_000002.12	82.353	34	6	0	22	55	179574173	179574206	2.9	35.6
