NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000010.11	92.308	26	2	0	3	28	85241253	85241228	0.24	39.2
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000010.11	88.889	27	3	0	13	39	106444234	106444260	2.9	36.5
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000010.11	86.207	29	4	0	4	32	115428171	115428143	2.9	35.6
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000008.11	100.000	21	0	0	23	43	72508021	72508041	0.24	39.2
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000008.11	100.000	20	0	0	15	34	47929100	47929119	0.83	37.4
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000008.11	95.455	22	1	0	14	35	123494791	123494770	2.9	36.5
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000021.9	79.545	44	6	1	12	52	17915731	17915688	0.83	38.3
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000003.12	89.286	28	3	0	19	46	190969287	190969260	0.83	38.3
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000003.12	100.000	19	0	0	24	42	184226331	184226313	2.9	35.6
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000012.12	87.500	32	3	1	6	36	110055077	110055046	0.83	37.4
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000009.12	95.455	22	1	0	22	43	84174960	84174981	2.9	36.5
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000004.12	80.000	45	5	2	1	43	64370452	64370494	2.9	36.5
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000002.12	88.889	27	3	0	22	48	156277065	156277091	2.9	36.5
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000016.10	91.667	24	2	0	18	41	73339776	73339799	2.9	35.6
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000014.9	91.667	24	2	0	19	42	21481728	21481705	2.9	35.6
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000013.11	86.207	29	4	0	15	43	50996484	50996456	2.9	35.6
NB551658:237:HCW3VBGXN:4:22509:26644:14638	NC_000007.14	91.667	24	2	0	18	41	89766797	89766820	2.9	35.6
